age,type_employer,education,marital,occupation,relationship,race,sex,capital_gain,capital_loss,hr_per_week,country,income
44,Private,Bachelors,Married,White-Collar,Husband,White,Male,High,None,60,United-States,GreaterThan50K
47,Self-Employed,Masters,Never-Married,Professional,Not-in-family,White,Female,None,None,50,United-States,LessThan50K
20,Private,HS-Graduate,Never-Married,Other-Occupations,Own-child,White,Female,None,None,40,United-States,LessThan50K
29,Private,HS-grad,Never-Married,Blue-Collar,Not-in-family,White,Male,None,None,40,United-States,LessThan50K
32,Self-Employed,HS-grad,Married,Blue-Collar,Husband,White,Male,High,None,40,United-States,GreaterThan50K
30,Private,Dropout,Never-Married,Blue-Collar,Own-child,White,Male,None,None,40,United-States,LessThan50K
31,Other-Govt,HS-grad,Never-Married,Admin,Not-in-family,White,Female,None,None,40,United-States,LessThan50K
42,Private,HS-grad,Married,Blue-Collar,Husband,White,Male,None,None,40,United-States,LessThan50K
24,Private,Bachelors,Never-Married,Sales,Other-relative,White,Male,None,None,40,United-States,LessThan50K
38,Private,Prof-School,Married,Professional,Husband,White,Male,None,None,40,United-States,GreaterThan50K
56,Self-Employed,HS-grad,Married,Service,Husband,White,Male,None,Low,50,British-Commonwealth,GreaterThan50K
28,Private,HS-Graduate,Married,Sales,Wife,White,Female,Low,None,25,United-States,LessThan50K
36,Private,HS-grad,Never-Married,Blue-Collar,Own-child,White,Female,None,None,40,United-States,LessThan50K
53,Private,Dropout,Married,Blue-Collar,Husband,White,Male,None,None,50,United-States,LessThan50K
56,Self-Employed,HS-Graduate,Married,Sales,Husband,White,Male,None,None,50,United-States,LessThan50K
49,Other-Govt,Associates,Married,Blue-Collar,Husband,Black,Male,None,None,40,United-States,GreaterThan50K
55,Private,HS-Graduate,Married,Sales,Husband,White,Male,None,None,56,United-States,LessThan50K
22,Private,HS-grad,Never-Married,Blue-Collar,Not-in-family,White,Male,None,None,41,United-States,LessThan50K
21,Private,HS-Graduate,Never-Married,Service,Own-child,White,Female,None,None,40,United-States,LessThan50K
40,Private,Bachelors,Married,White-Collar,Husband,White,Male,None,None,60,United-States,LessThan50K
30,Private,Bachelors,Never-Married,White-Collar,Own-child,Black,Male,None,None,40,Euro_1,LessThan50K
29,Other-Govt,Bachelors,Married,Professional,Husband,White,Male,None,None,50,United-States,GreaterThan50K
19,Private,HS-Graduate,Never-Married,Service,Own-child,Black,Male,None,None,35,United-States,LessThan50K
47,Private,Bachelors,Married,White-Collar,Wife,White,Female,None,None,40,United-States,GreaterThan50K
20,Private,HS-Graduate,Never-Married,Admin,Own-child,White,Female,None,Low,28,United-States,LessThan50K
31,Private,Associates,Married,Admin,Husband,White,Male,None,None,40,United-States,GreaterThan50K
39,Private,HS-Graduate,Not-Married,Blue-Collar,Not-in-family,White,Male,None,None,40,United-States,LessThan50K
28,Private,Associates,Never-Married,Sales,Not-in-family,White,Female,None,None,60,United-States,LessThan50K
24,Private,HS-grad,Never-Married,Service,Not-in-family,White,Female,None,Low,40,United-States,LessThan50K
38,Self-Employed,HS-grad,Married,Blue-Collar,Husband,White,Male,Low,None,35,United-States,LessThan50K
37,Private,Bachelors,Married,Sales,Husband,White,Male,None,None,50,United-States,LessThan50K
46,Private,Associates,Not-Married,Other-Occupations,Not-in-family,Black,Female,None,None,36,United-States,LessThan50K
38,Federal-Govt,Masters,Married,Professional,Husband,White,Male,None,None,40,Other,GreaterThan50K
43,Self-Employed,HS-grad,Married,Blue-Collar,Husband,White,Male,None,None,60,United-States,LessThan50K
27,Private,Associates,Married,Admin,Wife,White,Female,None,None,35,United-States,LessThan50K
20,Private,HS-Graduate,Never-Married,Sales,Own-child,White,Male,None,None,20,United-States,LessThan50K
49,Private,HS-Graduate,Married,Blue-Collar,Husband,Asian,Male,None,None,40,United-States,GreaterThan50K
61,Self-Employed,HS-grad,Married,Blue-Collar,Husband,White,Male,None,None,40,United-States,LessThan50K
27,Private,HS-Graduate,Never-Married,Sales,Own-child,White,Female,None,None,40,United-States,LessThan50K
19,Private,HS-Graduate,Never-Married,Service,Own-child,White,Male,None,None,30,Latin-America,LessThan50K
45,Private,Associates,Never-Married,Professional,Not-in-family,White,Female,None,Low,40,United-States,GreaterThan50K
70,Private,HS-Graduate,Never-Married,Other-Occupations,Other-relative,White,Male,None,None,40,United-States,LessThan50K
31,Private,HS-grad,Never-Married,Blue-Collar,Unmarried,Black,Female,None,None,30,United-States,LessThan50K
22,Private,HS-Graduate,Married,Service,Husband,White,Male,None,None,24,United-States,LessThan50K
36,Private,HS-grad,Widowed,Service,Unmarried,White,Female,None,None,24,United-States,LessThan50K
64,Private,Dropout,Married,Blue-Collar,Husband,White,Male,None,High,40,United-States,LessThan50K
47,Other-Govt,HS-Graduate,Not-Married,Admin,Unmarried,White,Female,None,None,38,Latin-America,LessThan50K
34,Private,HS-grad,Never-Married,Admin,Not-in-family,White,Female,None,None,40,United-States,LessThan50K
33,Private,Bachelors,Never-Married,White-Collar,Other-relative,Asian,Female,None,None,40,SE-Asia,LessThan50K
21,Private,HS-grad,Never-Married,Blue-Collar,Own-child,White,Male,None,None,35,United-States,LessThan50K
48,Private,HS-grad,Married,Blue-Collar,Husband,White,Male,None,None,46,United-States,LessThan50K
23,Private,Bachelors,Never-Married,Blue-Collar,Not-in-family,White,Male,None,None,40,United-States,LessThan50K
71,Self-Employed,HS-Graduate,Not-Married,Sales,Unmarried,Black,Male,None,Low,2,United-States,LessThan50K
29,Private,HS-grad,Not-Married,Blue-Collar,Not-in-family,White,Male,None,None,60,United-States,LessThan50K
42,Private,Bachelors,Not-Married,Service,Other-relative,Black,Male,None,None,50,United-States,LessThan50K
25,Private,HS-grad,Never-Married,Service,Unmarried,White,Female,None,None,40,United-States,LessThan50K
44,Self-Employed,Masters,Not-Married,White-Collar,Unmarried,Asian,Female,None,None,40,United-States,LessThan50K
28,Private,HS-grad,Never-Married,White-Collar,Not-in-family,Asian,Female,None,None,40,British-Commonwealth,LessThan50K
45,Self-Employed,Masters,Married,Sales,Husband,White,Male,None,None,40,United-States,GreaterThan50K
36,Private,HS-Graduate,Not-Married,Service,Unmarried,White,Female,None,None,40,Latin-America,LessThan50K
39,Federal-Govt,Associates,Never-Married,White-Collar,Not-in-family,White,Male,None,None,42,United-States,LessThan50K
46,Other-Govt,Masters,Widowed,Other-Occupations,Unmarried,White,Male,None,None,40,United-States,LessThan50K
18,Private,Dropout,Never-Married,Blue-Collar,Own-child,White,Male,None,None,16,United-States,LessThan50K
66,Other-Govt,Associates,Widowed,Professional,Not-in-family,White,Female,None,None,20,United-States,LessThan50K
27,Private,HS-grad,Never-Married,Service,Not-in-family,White,Male,None,High,40,United-States,LessThan50K
28,Other-Govt,HS-grad,Married,Other-Occupations,Husband,White,Male,None,None,40,United-States,LessThan50K
51,Private,HS-Graduate,Married,Sales,Husband,White,Male,None,High,40,United-States,GreaterThan50K
27,Private,Bachelors,Never-Married,Blue-Collar,Not-in-family,White,Male,None,None,50,United-States,LessThan50K
28,Other-Govt,Bachelors,Married,Professional,Husband,White,Male,None,None,40,United-States,GreaterThan50K
27,Private,HS-grad,Not-Married,Sales,Unmarried,White,Female,None,None,25,United-States,LessThan50K
21,Private,HS-grad,Never-Married,Blue-Collar,Own-child,Black,Male,None,None,40,United-States,LessThan50K
34,Private,HS-grad,Never-Married,Blue-Collar,Not-in-family,Black,Male,None,None,40,United-States,LessThan50K
18,Private,HS-grad,Never-Married,Service,Own-child,White,Male,None,None,12,United-States,LessThan50K
33,Private,Bachelors,Married,Professional,Husband,White,Male,None,None,65,United-States,LessThan50K
44,Other-Govt,HS-Graduate,Married,White-Collar,Husband,Black,Male,None,None,38,United-States,GreaterThan50K
43,Private,HS-Graduate,Not-Married,Admin,Not-in-family,White,Female,None,None,40,United-States,LessThan50K
30,Private,HS-Graduate,Never-Married,Blue-Collar,Not-in-family,Black,Male,None,None,45,United-States,LessThan50K
40,Private,Dropout,Married,Blue-Collar,Husband,White,Male,None,None,40,Latin-America,GreaterThan50K
37,Federal-Govt,HS-Graduate,Married,Admin,Husband,White,Male,None,None,42,United-States,GreaterThan50K
34,Private,HS-grad,Married,Admin,Husband,Black,Male,None,None,40,United-States,LessThan50K
41,Self-Employed,Bachelors,Not-Married,White-Collar,Not-in-family,White,Female,None,None,40,United-States,LessThan50K
31,Private,Masters,Married,Professional,Wife,White,Female,None,None,50,United-States,LessThan50K
58,Other-Govt,Doctorate,Married,Professional,Husband,White,Male,None,None,1,United-States,GreaterThan50K
38,Private,HS-Graduate,Not-Married,Blue-Collar,Not-in-family,Black,Female,None,None,28,United-States,LessThan50K
24,Private,HS-Graduate,Married,Blue-Collar,Husband,White,Male,None,None,40,United-States,LessThan50K
41,Other-Govt,Bachelors,Married,Blue-Collar,Husband,Black,Male,None,None,40,United-States,LessThan50K
47,Private,HS-Graduate,Married,Other-Occupations,Husband,White,Male,None,None,45,United-States,LessThan50K
41,Federal-Govt,Bachelors,Married,Other-Occupations,Husband,White,Male,None,None,24,United-States,LessThan50K
23,Private,Dropout,Married,Blue-Collar,Other-relative,White,Male,None,None,40,Latin-America,LessThan50K
36,Private,HS-Graduate,Not-Married,Blue-Collar,Not-in-family,White,Male,None,None,40,United-States,LessThan50K
40,Federal-Govt,Masters,Never-Married,White-Collar,Not-in-family,White,Female,High,None,55,United-States,GreaterThan50K
35,Private,Masters,Married,Professional,Other-relative,White,Male,Low,None,40,United-States,GreaterThan50K
24,Self-Employed,HS-grad,Never-Married,Sales,Not-in-family,White,Male,None,None,40,United-States,LessThan50K
26,Private,Masters,Never-Married,Professional,Not-in-family,White,Female,None,Low,40,United-States,LessThan50K
51,Private,Bachelors,Married,White-Collar,Husband,White,Male,None,None,50,United-States,GreaterThan50K
42,Other-Govt,HS-Graduate,Never-Married,Professional,Not-in-family,White,Female,None,Low,40,United-States,LessThan50K
37,Other-Govt,HS-grad,Not-Married,Admin,Unmarried,White,Female,None,None,35,United-States,LessThan50K
18,Private,Dropout,Never-Married,Sales,Own-child,White,Female,None,None,40,United-States,LessThan50K
36,Private,Bachelors,Married,Service,Husband,Black,Male,Low,None,36,United-States,GreaterThan50K
35,Private,HS-grad,Not-Married,Blue-Collar,Not-in-family,White,Male,None,None,60,United-States,LessThan50K
58,Self-Employed,HS-grad,Married,Sales,Wife,White,Female,High,None,35,United-States,GreaterThan50K
17,Private,Dropout,Never-Married,Sales,Own-child,White,Female,None,None,12,United-States,LessThan50K
44,Other-Govt,HS-grad,Married,Blue-Collar,Husband,Black,Male,None,None,40,United-States,LessThan50K
37,Private,HS-grad,Married,Blue-Collar,Husband,White,Male,None,None,40,United-States,GreaterThan50K
35,Private,HS-Graduate,Never-Married,Sales,Not-in-family,Amer-Indian,Female,None,None,40,United-States,LessThan50K
60,Private,HS-grad,Married,Blue-Collar,Husband,Asian,Male,None,None,40,United-States,LessThan50K
54,Self-Employed,Dropout,Married,Blue-Collar,Husband,White,Male,None,None,40,United-States,GreaterThan50K
37,Private,Bachelors,Never-Married,White-Collar,Not-in-family,Black,Male,None,None,60,United-States,GreaterThan50K
50,Private,Associates,Not-Married,Sales,Not-in-family,White,Female,None,None,40,United-States,LessThan50K
38,Private,Bachelors,Married,Sales,Husband,White,Male,None,None,50,Euro_2,LessThan50K
45,Private,Bachelors,Married,Professional,Husband,White,Male,None,None,55,United-States,LessThan50K
25,Private,Dropout,Never-Married,Blue-Collar,Not-in-family,White,Male,None,None,40,United-States,LessThan50K
31,Private,HS-Graduate,Married,Blue-Collar,Husband,White,Male,None,None,40,United-States,LessThan50K
90,Private,HS-grad,Never-Married,Service,Not-in-family,Black,Male,None,High,40,United-States,LessThan50K
54,Private,HS-grad,Married,Admin,Husband,Black,Male,None,None,20,United-States,LessThan50K
53,Other-Govt,Dropout,Never-Married,Blue-Collar,Not-in-family,White,Female,None,None,35,United-States,LessThan50K
18,Private,HS-grad,Never-Married,Sales,Own-child,White,Female,None,None,40,United-States,LessThan50K
66,Self-Employed,HS-grad,Married,Blue-Collar,Husband,White,Male,Low,None,50,United-States,LessThan50K
75,Private,Associates,Widowed,Admin,Not-in-family,White,Female,None,None,20,South-America,LessThan50K
65,Private,HS-grad,Not-Married,Admin,Not-in-family,White,Female,None,None,40,United-States,LessThan50K
35,Private,Dropout,Not-Married,Blue-Collar,Not-in-family,Black,Male,Low,None,40,United-States,LessThan50K
41,Private,HS-grad,Not-Married,Sales,Unmarried,Black,Female,None,None,38,United-States,LessThan50K
25,Private,HS-Graduate,Never-Married,Admin,Not-in-family,White,Male,None,None,42,United-States,LessThan50K
33,Private,HS-Graduate,Not-Married,Blue-Collar,Other-relative,Other,Female,None,None,40,United-States,LessThan50K
28,Private,Prof-School,Never-Married,Professional,Not-in-family,White,Male,None,None,55,United-States,GreaterThan50K
59,Other-Govt,HS-grad,Married,Service,Husband,White,Male,None,None,40,United-States,LessThan50K
40,Other-Govt,HS-Graduate,Never-Married,Admin,Not-in-family,White,Female,None,None,38,United-States,LessThan50K
41,Private,Bachelors,Married,White-Collar,Husband,White,Male,None,None,50,Other,GreaterThan50K
38,Other-Govt,Masters,Married,White-Collar,Husband,White,Male,None,None,70,United-States,GreaterThan50K
23,Private,HS-grad,Never-Married,Blue-Collar,Own-child,White,Male,None,None,40,United-States,LessThan50K
40,Private,Bachelors,Married,Professional,Husband,White,Male,None,None,40,United-States,GreaterThan50K
41,Self-Employed,HS-grad,Married,Service,Wife,White,Female,None,None,20,United-States,LessThan50K
24,Other-Govt,Associates,Married,Other-Occupations,Husband,White,Male,None,None,50,United-States,LessThan50K
38,Private,HS-Graduate,Not-Married,Blue-Collar,Not-in-family,White,Male,None,Low,40,United-States,LessThan50K
58,Private,HS-grad,Married,Admin,Husband,White,Male,None,None,45,United-States,GreaterThan50K
32,Private,HS-grad,Never-Married,Service,Not-in-family,White,Female,None,None,34,United-States,LessThan50K
40,Private,Associates,Married,Other-Occupations,Husband,White,Male,None,High,60,United-States,GreaterThan50K
41,Private,Prof-School,Married,Professional,Wife,White,Female,None,None,40,United-States,GreaterThan50K
42,Private,Bachelors,Married,Admin,Wife,Black,Female,None,None,40,United-States,LessThan50K
59,Other-Govt,Dropout,Widowed,Service,Unmarried,Black,Female,None,None,30,United-States,LessThan50K
19,Other-Govt,HS-Graduate,Never-Married,Admin,Own-child,White,Male,None,None,40,United-States,LessThan50K
58,Private,HS-Graduate,Never-Married,Blue-Collar,Not-in-family,White,Male,None,None,20,United-States,LessThan50K
42,Self-Employed,HS-grad,Married,Blue-Collar,Husband,Asian,Male,None,None,40,SE-Asia,GreaterThan50K
20,Private,HS-grad,Never-Married,Service,Own-child,White,Female,None,None,40,United-States,LessThan50K
32,Private,HS-grad,Not-Married,Service,Not-in-family,White,Female,None,None,30,United-States,LessThan50K
45,Private,Associates,Widowed,White-Collar,Not-in-family,White,Female,None,None,45,United-States,LessThan50K
50,Private,Dropout,Not-Married,Blue-Collar,Not-in-family,White,Male,None,None,40,United-States,LessThan50K
36,Private,Bachelors,Not-Married,Professional,Own-child,White,Female,None,None,40,United-States,LessThan50K
45,Private,HS-grad,Married,Sales,Husband,White,Male,None,None,60,United-States,LessThan50K
17,Private,Dropout,Never-Married,Service,Own-child,White,Male,None,None,12,United-States,LessThan50K
59,Private,HS-Graduate,Married,Sales,Husband,White,Male,Low,None,40,United-States,LessThan50K
26,Private,Dropout,Married,Blue-Collar,Husband,White,Male,None,None,40,United-States,LessThan50K
37,Self-Employed,HS-Graduate,Married,White-Collar,Husband,Asian,Male,None,None,75,SE-Asia,GreaterThan50K
64,Private,HS-grad,Married,White-Collar,Husband,White,Male,None,None,40,United-States,GreaterThan50K
33,Private,Bachelors,Never-Married,Professional,Not-in-family,White,Female,None,None,45,United-States,LessThan50K
33,Private,HS-grad,Married,Blue-Collar,Wife,White,Female,None,None,40,United-States,GreaterThan50K
61,Private,HS-grad,Married,White-Collar,Husband,White,Male,None,None,40,United-States,GreaterThan50K
17,Private,Dropout,Never-Married,Service,Own-child,White,Male,Low,None,24,United-States,LessThan50K
50,Self-Employed,Masters,Married,Blue-Collar,Husband,White,Male,Low,None,98,United-States,LessThan50K
27,Other-Govt,Masters,Never-Married,Professional,Own-child,White,Male,None,None,35,United-States,LessThan50K
30,Private,HS-grad,Not-Married,Professional,Own-child,White,Female,None,None,40,United-States,LessThan50K
43,Private,HS-grad,Married,Blue-Collar,Husband,Black,Male,None,None,40,United-States,LessThan50K
44,Private,HS-Graduate,Married,Blue-Collar,Husband,White,Male,Low,None,40,United-States,GreaterThan50K
35,Private,HS-Graduate,Never-Married,White-Collar,Not-in-family,White,Female,None,None,40,United-States,LessThan50K
25,Private,HS-Graduate,Never-Married,Other-Occupations,Own-child,White,Female,None,None,40,United-States,LessThan50K
24,Private,HS-Graduate,Married,Blue-Collar,Wife,White,Female,Low,None,48,United-States,GreaterThan50K
22,Private,Bachelors,Never-Married,Professional,Not-in-family,White,Female,None,None,15,Euro_1,LessThan50K
42,Other-Govt,HS-Graduate,Married,Blue-Collar,Husband,White,Male,Low,None,40,United-States,GreaterThan50K
34,Private,Associates,Not-Married,Sales,Unmarried,Black,Female,None,None,45,United-States,LessThan50K
60,Private,Bachelors,Not-Married,Professional,Not-in-family,White,Female,None,None,42,United-States,LessThan50K
21,Private,HS-grad,Never-Married,Blue-Collar,Own-child,White,Male,None,None,40,United-States,LessThan50K
57,Federal-Govt,Masters,Married,Sales,Husband,White,Male,High,None,40,United-States,GreaterThan50K
41,Private,Prof-School,Married,Professional,Husband,White,Male,None,None,60,United-States,GreaterThan50K
50,Private,HS-Graduate,Not-Married,Service,Not-in-family,White,Male,None,None,45,United-States,LessThan50K
25,Private,Bachelors,Never-Married,White-Collar,Not-in-family,White,Female,None,None,40,United-States,LessThan50K
50,Private,Dropout,Married,Blue-Collar,Husband,White,Male,None,None,40,South-America,LessThan50K
36,Private,Bachelors,Married,Professional,Husband,White,Male,None,None,45,United-States,LessThan50K
31,Private,HS-grad,Not-Married,Professional,Not-in-family,White,Female,None,None,40,United-States,LessThan50K
29,Other-Govt,Bachelors,Never-Married,Other-Occupations,Not-in-family,White,Male,None,None,56,United-States,LessThan50K
21,Private,HS-Graduate,Never-Married,Sales,Own-child,White,Male,None,None,45,United-States,LessThan50K
27,Private,Bachelors,Never-Married,Other-Occupations,Unmarried,Black,Female,None,None,40,United-States,LessThan50K
65,Private,HS-grad,Married,Blue-Collar,Husband,White,Male,None,None,16,United-States,LessThan50K
